ID,Colony,Treatment,Trial,Success,Ball type,solving time
45,8,3,2,0,,
45,8,3,3,0,,
45,8,3,4,0,,
45,8,3,5,0,,
45,8,3,6,1,1,124
45,8,3,7,0,,
45,8,3,8,0,,
45,8,3,9,1,1,115
45,8,3,10,0,,
133,9,3,1,1,3,43
133,9,3,2,0,,
133,9,3,3,1,2,33
133,9,3,4,1,1,13
133,9,3,5,1,2,202
133,9,3,6,1,3,29
133,9,3,7,1,2,158
133,9,3,8,0,,
133,9,3,9,1,1,206
133,9,3,10,0,,
133,9,3,11,0,,
37,9,3,1,1,1,43
37,9,3,2,1,2,7
37,9,3,3,0,,
37,9,3,4,0,,
37,9,3,5,0,,
37,9,3,6,0,,
37,9,3,7,0,,
37,9,3,8,0,,
37,9,3,9,0,,
37,9,3,10,0,,
88,9,3,1,1,1,217
88,9,3,2,1,1,13
88,9,3,3,1,1,12
88,9,3,4,1,1,50
88,9,3,5,1,1,151
88,9,3,6,0,,
88,9,3,7,0,,
88,9,3,8,0,,
88,9,3,9,0,,
88,9,3,10,0,,
88,9,3,11,0,,
